,Start_Base,End_Base,Event,Respon_Pitcher,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
17,1B,,Caught Stealing 2B,,670032,Nicky Lopez,450203,Charlie Morton,455117,Martín Maldonado,R,Travis d'Arnaud,518595,0,0,2,False,2024-04-01,Caught,2B
59,1B,2B,Stolen Base 2B,,665923,Esteury Ruiz,690829,Ben Joyce,676116,Ryan Noda,R,Logan O'Hoppe,681351,3,1,8,True,2023-09-30,Stolen,2B
27,1B,,Caught Stealing 2B,,642731,Thairo Estrada,477132,Clayton Kershaw,527038,Wilmer Flores,L,Austin Barnes,605131,1,0,3,False,2023-09-30,Caught,2B
82,1B,,Caught Stealing 2B,,621035,Chris Taylor,666808,Camilo Doval,444482,David Peralta,R,Patrick Bailey,672275,2,1,9,True,2023-09-30,Caught,2B
38,1B,2B,Stolen Base 2B,,686668,Brenton Doyle,663978,Chris Paddack,453568,Charlie Blackmon,R,Christian Vázquez,543877,0,6,3,False,2023-09-30,Stolen,2B
28,1B,2B,Stolen Base 2B,,663656,Kyle Tucker,518876,Merrill Kelly,547989,José Abreu,R,Gabriel Moreno,672515,0,1,4,True,2023-09-30,Stolen,2B
38,1B,2B,Stolen Base 2B,,666971,Lourdes Gurriel Jr.,434378,Justin Verlander,672515,Gabriel Moreno,R,Martín Maldonado,455117,0,1,4,False,2023-09-30,Stolen,2B
84,1B,,Caught Stealing 2B,,664983,Jake McCarthy,650556,Bryan Abreu,672515,Gabriel Moreno,R,Martín Maldonado,455117,0,1,9,False,2023-09-30,Caught,2B
2,1B,2B,Stolen Base 2B,,682928,CJ Abrams,675911,Spencer Strider,660688,Keibert Ruiz,R,Sean Murphy,669221,0,1,1,True,2023-09-30,Stolen,2B
22,1B,2B,Stolen Base 2B,,696285,Jacob Young,675911,Spencer Strider,682928,CJ Abrams,R,Sean Murphy,669221,0,3,2,True,2023-09-30,Stolen,2B
39,1B,2B,Stolen Base 2B,,660670,Ronald Acuña Jr.,672851,Joan Adon,645277,Ozzie Albies,R,Keibert Ruiz,660688,0,3,3,False,2023-09-30,Stolen,2B
48,1B,2B,Stolen Base 2B,,696285,Jacob Young,675911,Spencer Strider,657041,Lane Thomas,R,Sean Murphy,669221,1,3,4,True,2023-09-30,Stolen,2B
5,1B,2B,Stolen Base 2B,,669242,Tommy Edman,683175,Connor Phillips,502671,Paul Goldschmidt,R,Tyler Stephenson,663886,0,0,1,False,2023-09-30,Stolen,2B
31,3B,,Caught Stealing Home,,682622,Noelvi Marte,680723,Drew Rom,656413,Stuart Fairchild,L,Iván Herrera,671056,5,0,2,True,2023-09-30,Caught,Home
32,1B,2B,Caught Stealing Home,,682829,Elly De La Cruz,680723,Drew Rom,656413,Stuart Fairchild,L,Iván Herrera,671056,5,0,2,True,2023-09-30,Caught,Home
21,1B,,Caught Stealing 2B,,457759,Justin Turner,502043,Kyle Gibson,807799,Masataka Yoshida,R,James McCann,543510,0,0,3,True,2023-09-30,Caught,2B
60,1B,2B,Stolen Base 2B,,622761,Jorge Mateo,670174,Josh Winckowski,656811,Ryan O'Hearn,R,Reese McGuire,624512,0,0,7,False,2023-09-30,Stolen,2B
87,1B,2B,Stolen Base 2B,,622761,Jorge Mateo,661440,Mauricio Llovera,623993,Anthony Santander,R,Reese McGuire,624512,5,1,8,False,2023-09-30,Stolen,2B
2,1B,2B,Stolen Base 2B,,518934,DJ LeMahieu,674444,Steven Cruz,650402,Gleyber Torres,R,Logan Porter,682515,0,0,1,True,2023-09-30,Stolen,2B
31,1B,,Caught Stealing 2B,,677951,Bobby Witt Jr.,657376,Clarke Schmidt,521692,Salvador Perez,R,Kyle Higashioka,543309,2,0,3,False,2023-09-30,Caught,2B
66,1B,2B,Caught Stealing 2B,,669004,MJ Melendez,593423,Frankie Montas,676369,Nelson Velázquez,R,Kyle Higashioka,543309,2,2,5,False,2023-09-30,Caught,2B
4,2B,3B,Stolen Base 3B,,673490,Ha-Seong Kim,605182,Mike Clevinger,665487,Fernando Tatis Jr.,R,Carlos Pérez,656024,0,0,1,True,2023-09-30,Stolen,3B
5,1B,2B,Stolen Base 2B,,665742,Juan Soto,605182,Mike Clevinger,665487,Fernando Tatis Jr.,R,Carlos Pérez,656024,0,0,1,True,2023-09-30,Stolen,2B
66,2B,3B,Stolen Base 3B,,673490,Ha-Seong Kim,671111,Sammy Peralta,665742,Juan Soto,L,Carlos Pérez,656024,0,6,6,True,2023-09-30,Stolen,3B
64,1B,2B,Stolen Base 2B,,664901,Danny Mendick,592836,Taijuan Walker,677595,Ronny Mauricio,R,J.T. Realmuto,592663,4,0,7,False,2023-09-30,Stolen,2B
82,1B,,Caught Stealing 2B,,596019,Francisco Lindor,656814,Luis F. Ortiz,621466,DJ Stewart,R,J.T. Realmuto,592663,4,1,8,False,2023-09-30,Caught,2B
92,1B,2B,Stolen Base 2B,,642215,Weston Wilson,493603,Adam Ottavino,595909,Jake Cave,R,Omar Narváez,553882,4,3,9,True,2023-09-30,Stolen,2B
93,2B,3B,Stolen Base 3B,,642215,Weston Wilson,493603,Adam Ottavino,595909,Jake Cave,R,Omar Narváez,553882,4,3,9,True,2023-09-30,Stolen,3B
26,1B,2B,Stolen Base 2B,,668731,Akil Baddoo,663474,Triston McKenzie,679529,Spencer Torkelson,R,Bo Naylor,666310,0,0,3,False,2023-09-30,Stolen,2B
69,1B,2B,Stolen Base 2B,,664702,Myles Straw,656638,Alex Lange,657656,Ramón Laureano,R,Carson Kelly,608348,3,0,7,True,2023-09-30,Stolen,2B
73,1B,2B,Stolen Base 2B,,678009,Parker Meadows,675916,James Karinchak,679529,Spencer Torkelson,R,Bo Naylor,666310,3,0,7,False,2023-09-30,Stolen,2B
79,1B,2B,Stolen Base 2B,,681481,Kerry Carpenter,675916,James Karinchak,663837,Matt Vierling,R,Bo Naylor,666310,4,0,7,False,2023-09-30,Stolen,2B
20,1B,2B,Stolen Base 2B,,607054,Jace Peterson,664353,José Urquidy,672695,Geraldo Perdomo,R,Martín Maldonado,455117,0,0,2,False,2023-09-29,Stolen,2B
28,2B,3B,Stolen Base 3B,,682998,Corbin Carroll,664353,José Urquidy,572233,Christian Walker,R,Martín Maldonado,455117,0,0,3,False,2023-09-29,Stolen,3B
65,1B,2B,Stolen Base 2B,,514888,Jose Altuve,657044,Ryan Thompson,608324,Alex Bregman,R,Gabriel Moreno,672515,0,2,8,True,2023-09-29,Stolen,2B
76,2B,3B,Stolen Base 3B,,682998,Corbin Carroll,593576,Héctor Neris,502054,Tommy Pham,R,Martín Maldonado,455117,0,2,8,False,2023-09-29,Stolen,3B
77,1B,2B,Stolen Base 2B,,606466,Ketel Marte,593576,Héctor Neris,502054,Tommy Pham,R,Martín Maldonado,455117,0,2,8,False,2023-09-29,Stolen,2B
41,1B,2B,Stolen Base 2B,,666181,Will Benson,596271,Casey Lawrence,663697,Jonathan India,R,Andrew Knizner,668800,2,8,4,True,2023-09-29,Stolen,2B
77,1B,,Caught Stealing 2B,,669003,Garrett Mitchell,640470,Adbert Alzolay,605170,Victor Caratini,R,Yan Gomes,543228,3,2,8,False,2023-09-29,Caught,2B
91,1B,2B,Stolen Base 2B,,666624,Christopher Morel,676961,Caleb Boushley,643565,Mike Tauchman,R,Victor Caratini,605170,3,3,10,True,2023-09-29,Stolen,2B
19,2B,3B,Stolen Base 3B,,679845,Nick Loftin,607074,Carlos Rodón,682515,Logan Porter,L,Austin Wells,669224,5,0,1,False,2023-09-29,Stolen,3B
38,1B,2B,Stolen Base 2B,,453568,Charlie Blackmon,657746,Joe Ryan,663898,Brendan Rodgers,R,Christian Vázquez,543877,1,4,3,False,2023-09-29,Stolen,2B
94,1B,2B,Stolen Base 2B,,666134,Nolan Jones,681892,Kody Funderburk,641857,Ryan McMahon,L,Christian Vázquez,543877,6,6,7,False,2023-09-29,Stolen,2B
4,1B,2B,Stolen Base 2B,,660670,Ronald Acuña Jr.,592866,Trevor Williams,645277,Ozzie Albies,R,Keibert Ruiz,660688,0,0,1,False,2023-09-29,Stolen,2B
26,1B,2B,Stolen Base 2B,,660670,Ronald Acuña Jr.,592866,Trevor Williams,645277,Ozzie Albies,R,Keibert Ruiz,660688,2,0,2,False,2023-09-29,Stolen,2B
32,1B,2B,Stolen Base 2B,,696285,Jacob Young,642216,Allan Winans,682928,CJ Abrams,R,Travis d'Arnaud,518595,2,0,3,True,2023-09-29,Stolen,2B
36,1B,2B,Stolen Base 2B,,663897,Luke Williams,592866,Trevor Williams,542303,Marcell Ozuna,R,Keibert Ruiz,660688,2,0,3,False,2023-09-29,Stolen,2B
85,1B,2B,Stolen Base 2B,,696285,Jacob Young,543272,Brad Hand,682928,CJ Abrams,L,Travis d'Arnaud,518595,6,7,6,True,2023-09-29,Stolen,2B
108,1B,2B,Stolen Base 2B,,657088,Forrest Wall,686747,Joe La Sorsa,607680,Kevin Pillar,L,Keibert Ruiz,660688,6,10,7,False,2023-09-29,Stolen,2B
