,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
67,1B,2B,Stolen Base 2B,460086,Alex Gordon,605194,Jharel Cotton,595956,Cam Gallagher,R,Bruce Maxwell,622194,1,2,2,True,2017-08-14,Stolen,2B,2017,2018, 80.5, 0.73
68,1B,2B,Stolen Base 2B,456715,Lorenzo Cain,501563,Simon Castro,543333,Eric Hosmer,R,Bruce Maxwell,622194,2,6,7,True,2017-08-14,Stolen,2B,2017,2018, 80.5, 0.73
69,1B,2B,Stolen Base 2B,592325,Ben Gamel,605194,Jharel Cotton,502481,Jarrod Dyson,R,Bruce Maxwell,622194,0,3,1,True,2017-08-09,Stolen,2B,2017,2018, 80.5, 0.73
70,1B,2B,Stolen Base 2B,516416,Jean Segura,605194,Jharel Cotton,475174,Yonder Alonso,R,Bruce Maxwell,622194,2,5,4,True,2017-08-09,Stolen,2B,2017,2018, 80.5, 0.73
71,1B,2B,Stolen Base 2B,545361,Mike Trout,501563,Simon Castro,405395,Albert Pujols,R,Bruce Maxwell,622194,6,4,4,False,2017-08-06,Stolen,2B,2017,2018, 80.5, 0.73
72,2B,3B,Stolen Base 3B,519184,Ben Revere,501563,Simon Castro,460060,Cliff Pennington,R,Bruce Maxwell,622194,8,5,5,False,2017-08-06,Stolen,3B,2017,2018, 80.5, 0.73
73,1B,2B,Stolen Base 2B,543068,C.J. Cron,521230,Liam Hendriks,455117,Martín Maldonado,R,Bruce Maxwell,622194,2,6,6,False,2017-08-04,Stolen,2B,2017,2018, 80.5, 0.73
74,1B,,Caught Stealing 2B,605412,Joe Panik,621112,Paul Blackburn,474832,Brandon Belt,R,Bruce Maxwell,622194,2,3,5,True,2017-07-31,Caught,2B,2017,2018, 80.5, 0.73
75,1B,,Caught Stealing 2B,519306,Steven Souza Jr.,543243,Sonny Gray,572816,Corey Dickerson,R,Bruce Maxwell,622194,0,0,1,True,2017-07-19,Caught,2B,2017,2018, 80.5, 0.73
76,1B,,Caught Stealing 2B,571980,Tyler Naquin,621112,Paul Blackburn,570481,Erik González,R,Bruce Maxwell,622194,0,0,3,True,2017-07-15,Caught,2B,2017,2018, 80.5, 0.73
77,1B,2B,Stolen Base 2B,605548,Bradley Zimmer,621112,Paul Blackburn,596019,Francisco Lindor,R,Bruce Maxwell,622194,1,2,5,True,2017-07-15,Stolen,2B,2017,2018, 80.5, 0.73
78,1B,2B,Stolen Base 2B,488726,Michael Brantley,543243,Sonny Gray,429665,Edwin Encarnación,R,Bruce Maxwell,622194,4,0,6,True,2017-07-14,Stolen,2B,2017,2018, 80.5, 0.73
79,2B,,Caught Stealing 3B,502481,Jarrod Dyson,543056,Danny Coulombe,592325,Ben Gamel,L,Bruce Maxwell,622194,3,0,5,False,2017-07-09,Caught,3B,2017,2018, 80.5, 0.73
80,1B,2B,Caught Stealing 3B,434563,Carlos Ruiz,543056,Danny Coulombe,592325,Ben Gamel,L,Bruce Maxwell,622194,3,0,5,False,2017-07-09,Caught,3B,2017,2018, 80.5, 0.73
81,1B,2B,Stolen Base 2B,542454,Danny Santana,640455,Sean Manaea,622666,Johan Camargo,L,Bruce Maxwell,622194,0,1,2,True,2017-07-02,Stolen,2B,2017,2018, 80.5, 0.73
82,1B,2B,Stolen Base 2B,542255,Ender Inciarte,448281,Sean Doolittle,408252,Brandon Phillips,L,Bruce Maxwell,622194,0,2,9,True,2017-06-30,Stolen,2B,2017,2018, 80.5, 0.73
83,2B,3B,Stolen Base 3B,502210,Josh Reddick,595001,Josh A. Smith,621043,Carlos Correa,R,Bruce Maxwell,622194,9,5,3,False,2017-06-28,Stolen,3B,2017,2018, 80.5, 0.73
84,1B,2B,Stolen Base 2B,514888,Jose Altuve,595001,Josh A. Smith,621043,Carlos Correa,R,Bruce Maxwell,622194,9,5,3,False,2017-06-28,Stolen,2B,2017,2018, 80.5, 0.73
85,2B,3B,Stolen Base 3B,502210,Josh Reddick,446099,John Axford,435263,Brian McCann,R,Bruce Maxwell,622194,10,7,6,False,2017-06-28,Stolen,3B,2017,2018, 80.5, 0.73
86,1B,2B,Stolen Base 2B,514888,Jose Altuve,446099,John Axford,136860,Carlos Beltrán,R,Bruce Maxwell,622194,10,7,6,False,2017-06-28,Stolen,2B,2017,2018, 80.5, 0.73
87,1B,,Caught Stealing 2B,514888,Jose Altuve,640455,Sean Manaea,621043,Carlos Correa,L,Bruce Maxwell,622194,0,0,1,False,2017-06-27,Caught,2B,2017,2018, 80.5, 0.73
88,1B,2B,Stolen Base 2B,596059,Rougned Odor,543243,Sonny Gray,435063,Mike Napoli,R,Bruce Maxwell,622194,0,0,2,False,2017-05-13,Stolen,2B,2017,2018, 80.5, 0.73
89,1B,2B,Stolen Base 2B,462101,Elvis Andrus,543243,Sonny Gray,608577,Nomar Mazara,R,Bruce Maxwell,622194,1,0,3,False,2017-05-13,Stolen,2B,2017,2018, 80.5, 0.73
90,1B,2B,Stolen Base 2B,607387,Ryan Rua,543056,Danny Coulombe,425783,Shin-Soo Choo,L,Bruce Maxwell,622194,6,5,8,False,2017-05-13,Stolen,2B,2017,2018, 80.5, 0.73
91,1B,,Caught Stealing 2B,457708,Justin Upton,543243,Sonny Gray,543510,James McCann,R,Bruce Maxwell,622194,0,0,2,True,2017-05-07,Caught,2B,2017,2018, 80.5, 0.73
92,1B,2B,Stolen Base 2B,461865,Andrew Romine,592811,Andrew Triggs,400121,Victor Martinez,R,Bruce Maxwell,622194,0,2,3,True,2017-05-05,Stolen,2B,2017,2018, 80.5, 0.73
93,1B,2B,Stolen Base 2B,462101,Elvis Andrus,592811,Andrew Triggs,608577,Nomar Mazara,R,Bruce Maxwell,622194,0,2,6,True,2017-04-18,Stolen,2B,2017,2018, 80.5, 0.73
94,2B,3B,Stolen Base 3B,462101,Elvis Andrus,592811,Andrew Triggs,608577,Nomar Mazara,R,Bruce Maxwell,622194,0,2,6,True,2017-04-18,Stolen,3B,2017,2018, 80.5, 0.73
95,1B,,Caught Stealing 2B,621043,Carlos Correa,596043,Daniel Mengden,493329,Yuli Gurriel,R,Bruce Maxwell,622194,0,0,2,True,2017-04-16,Caught,2B,2017,2018, 80.5, 0.73
