,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
0,1B,,Caught Stealing 2B,519068,Efren Navarro,502043,Kyle Gibson,543510,James McCann,R,Chris Gimenez,460269,5,3,3,True,2017-09-29,Caught,2B,2017,2018, 79.4, 0.78
1,1B,2B,Stolen Base 2B,461865,Andrew Romine,519151,Ryan Pressly,435079,Ian Kinsler,R,Chris Gimenez,460269,5,3,4,True,2017-09-29,Stolen,2B,2017,2018, 79.4, 0.78
2,1B,2B,Stolen Base 2B,458731,Brett Gardner,595928,John Curtiss,592450,Aaron Judge,R,Chris Gimenez,460269,5,2,7,False,2017-09-19,Stolen,2B,2017,2018, 79.4, 0.78
3,1B,,Caught Stealing 2B,519306,Steven Souza Jr.,642083,Aaron Slegers,543543,Brad Miller,R,Chris Gimenez,460269,4,4,3,False,2017-09-06,Caught,2B,2017,2018, 79.4, 0.78
4,1B,,Caught Stealing 2B,593160,Whit Merrifield,429722,Ervin Santana,456715,Lorenzo Cain,R,Chris Gimenez,460269,0,1,5,True,2017-09-03,Caught,2B,2017,2018, 79.4, 0.78
5,1B,,Caught Stealing 2B,593700,Alen Hanson,112526,Bartolo Colon,544725,Leury García,R,Chris Gimenez,460269,3,3,6,True,2017-08-31,Caught,2B,2017,2018, 79.4, 0.78
6,1B,2B,Stolen Base 2B,641553,Adam Engel,279571,Matt Belisle,570560,Yolmer Sánchez,R,Chris Gimenez,460269,3,4,9,True,2017-08-31,Stolen,2B,2017,2018, 79.4, 0.78
7,1B,2B,Stolen Base 2B,660162,Yoán Moncada,621244,José Berríos,547170,Nicky Delmonico,R,Chris Gimenez,460269,2,0,4,False,2017-08-24,Stolen,2B,2017,2018, 79.4, 0.78
8,1B,2B,Stolen Base 2B,593700,Alen Hanson,519151,Ryan Pressly,573135,Tyler Saladino,R,Chris Gimenez,460269,5,1,7,False,2017-08-24,Stolen,2B,2017,2018, 79.4, 0.78
9,1B,2B,Stolen Base 2B,572041,AJ Pollock,112526,Bartolo Colon,571875,Jake Lamb,R,Chris Gimenez,460269,0,0,1,True,2017-08-20,Stolen,2B,2017,2018, 79.4, 0.78
10,1B,2B,Stolen Base 2B,606115,Orlando Arcia,112526,Bartolo Colon,519299,Eric Sogard,R,Chris Gimenez,460269,0,1,2,False,2017-08-09,Stolen,2B,2017,2018, 79.4, 0.78
11,1B,2B,Stolen Base 2B,460576,Carlos Gómez,573124,Taylor Rogers,455139,Robinson Chirinos,L,Chris Gimenez,460269,1,4,9,True,2017-08-05,Stolen,2B,2017,2018, 79.4, 0.78
12,1B,,Caught Stealing 2B,458731,Brett Gardner,621244,José Berríos,516770,Starlin Castro,R,Chris Gimenez,460269,0,0,1,True,2017-07-19,Caught,2B,2017,2018, 79.4, 0.78
13,1B,2B,Stolen Base 2B,543213,Johnny Giavotella,445213,Brandon Kintzler,452234,Seth Smith,R,Chris Gimenez,460269,9,6,9,True,2017-07-07,Stolen,2B,2017,2018, 79.4, 0.78
14,1B,,Caught Stealing 2B,519184,Ben Revere,502043,Kyle Gibson,492802,Juan Graterol,R,Chris Gimenez,460269,1,1,5,True,2017-07-04,Caught,2B,2017,2018, 79.4, 0.78
15,1B,2B,Stolen Base 2B,456715,Lorenzo Cain,608648,Tyler Duffey,543333,Eric Hosmer,R,Chris Gimenez,460269,6,6,6,False,2017-07-01,Stolen,2B,2017,2018, 79.4, 0.78
16,1B,2B,Stolen Base 2B,643217,Andrew Benintendi,621244,José Berríos,455759,Chris Young,R,Chris Gimenez,460269,2,0,1,False,2017-06-26,Stolen,2B,2017,2018, 79.4, 0.78
17,1B,2B,Stolen Base 2B,605548,Bradley Zimmer,573244,Adam Wilk,547379,Roberto Pérez,L,Chris Gimenez,460269,0,3,1,True,2017-06-17,Stolen,2B,2017,2018, 79.4, 0.78
18,1B,,Caught Stealing 2B,543401,Jason Kipnis,542953,Buddy Boshers,543706,Daniel Robertson,L,Chris Gimenez,460269,3,8,7,True,2017-06-17,Caught,2B,2017,2018, 79.4, 0.78
19,1B,2B,Stolen Base 2B,600301,Taylor Motter,621244,José Berríos,592325,Ben Gamel,R,Chris Gimenez,460269,5,1,3,True,2017-06-15,Stolen,2B,2017,2018, 79.4, 0.78
20,2B,3B,Stolen Base 3B,488862,Yunel Escobar,502043,Kyle Gibson,472528,Luis Valbuena,R,Chris Gimenez,460269,2,7,6,False,2017-06-02,Stolen,3B,2017,2018, 79.4, 0.78
21,1B,2B,Stolen Base 2B,542921,Tim Beckham,606167,Adalberto Mejía,489149,Logan Morrison,L,Chris Gimenez,460269,1,1,3,True,2017-05-27,Stolen,2B,2017,2018, 79.4, 0.78
22,1B,2B,Stolen Base 2B,596019,Francisco Lindor,502327,Héctor Santiago,488726,Michael Brantley,L,Chris Gimenez,460269,1,0,1,False,2017-05-14,Stolen,2B,2017,2018, 79.4, 0.78
23,2B,3B,Stolen Base 3B,643217,Andrew Benintendi,573124,Taylor Rogers,434670,Hanley Ramirez,L,Chris Gimenez,460269,4,6,8,True,2017-05-07,Stolen,3B,2017,2018, 79.4, 0.78
24,1B,2B,Stolen Base 2B,592261,Delino DeShields,502327,Héctor Santiago,462101,Elvis Andrus,L,Chris Gimenez,460269,0,0,1,False,2017-04-26,Stolen,2B,2017,2018, 79.4, 0.78
25,2B,,Caught Stealing 3B,592261,Delino DeShields,502327,Héctor Santiago,462101,Elvis Andrus,L,Chris Gimenez,460269,0,0,1,False,2017-04-26,Caught,3B,2017,2018, 79.4, 0.78
26,1B,2B,Stolen Base 2B,592261,Delino DeShields,502327,Héctor Santiago,462101,Elvis Andrus,L,Chris Gimenez,460269,0,2,5,False,2017-04-26,Stolen,2B,2017,2018, 79.4, 0.78
27,1B,2B,Stolen Base 2B,460576,Carlos Gómez,502327,Héctor Santiago,596059,Rougned Odor,L,Chris Gimenez,460269,2,2,5,False,2017-04-26,Stolen,2B,2017,2018, 79.4, 0.78
28,2B,,Caught Stealing 3B,596059,Rougned Odor,444520,Craig Breslow,608336,Joey Gallo,L,Chris Gimenez,460269,6,3,7,False,2017-04-26,Caught,3B,2017,2018, 79.4, 0.78
29,1B,2B,Caught Stealing 3B,607387,Ryan Rua,444520,Craig Breslow,608336,Joey Gallo,L,Chris Gimenez,460269,6,3,7,False,2017-04-26,Caught,3B,2017,2018, 79.4, 0.78
30,1B,2B,Stolen Base 2B,460576,Carlos Gómez,279571,Matt Belisle,435063,Mike Napoli,R,Chris Gimenez,460269,7,3,8,False,2017-04-26,Stolen,2B,2017,2018, 79.4, 0.78
31,1B,,Caught Stealing 2B,425783,Shin-Soo Choo,461833,Phil Hughes,608577,Nomar Mazara,R,Chris Gimenez,460269,0,0,1,False,2017-04-24,Caught,2B,2017,2018, 79.4, 0.78
32,2B,3B,Stolen Base 3B,462101,Elvis Andrus,461833,Phil Hughes,518960,Jonathan Lucroy,R,Chris Gimenez,460269,2,0,4,False,2017-04-24,Stolen,3B,2017,2018, 79.4, 0.78
33,1B,2B,Stolen Base 2B,608336,Joey Gallo,461833,Phil Hughes,518960,Jonathan Lucroy,R,Chris Gimenez,460269,2,0,4,False,2017-04-24,Stolen,2B,2017,2018, 79.4, 0.78
34,1B,,Caught Stealing 2B,592444,JaCoby Jones,461833,Phil Hughes,578428,Jose Iglesias,R,Chris Gimenez,460269,2,6,5,False,2017-04-13,Caught,2B,2017,2018, 79.4, 0.78
35,1B,2B,Stolen Base 2B,641313,Tim Anderson,461833,Phil Hughes,466320,Melky Cabrera,R,Chris Gimenez,460269,0,0,1,False,2017-04-07,Stolen,2B,2017,2018, 79.4, 0.78
36,1B,,Caught Stealing 2B,519068,Efren Navarro,502043,Kyle Gibson,543510,James McCann,R,Chris Gimenez,460269,5,3,3,True,2017-09-29,Caught,2B,2017,2018, 79.4, 0.78
37,1B,2B,Stolen Base 2B,461865,Andrew Romine,519151,Ryan Pressly,435079,Ian Kinsler,R,Chris Gimenez,460269,5,3,4,True,2017-09-29,Stolen,2B,2017,2018, 79.4, 0.78
38,1B,2B,Stolen Base 2B,458731,Brett Gardner,595928,John Curtiss,592450,Aaron Judge,R,Chris Gimenez,460269,5,2,7,False,2017-09-19,Stolen,2B,2017,2018, 79.4, 0.78
39,1B,,Caught Stealing 2B,519306,Steven Souza Jr.,642083,Aaron Slegers,543543,Brad Miller,R,Chris Gimenez,460269,4,4,3,False,2017-09-06,Caught,2B,2017,2018, 79.4, 0.78
40,1B,,Caught Stealing 2B,593160,Whit Merrifield,429722,Ervin Santana,456715,Lorenzo Cain,R,Chris Gimenez,460269,0,1,5,True,2017-09-03,Caught,2B,2017,2018, 79.4, 0.78
41,1B,,Caught Stealing 2B,593700,Alen Hanson,112526,Bartolo Colon,544725,Leury García,R,Chris Gimenez,460269,3,3,6,True,2017-08-31,Caught,2B,2017,2018, 79.4, 0.78
42,1B,2B,Stolen Base 2B,641553,Adam Engel,279571,Matt Belisle,570560,Yolmer Sánchez,R,Chris Gimenez,460269,3,4,9,True,2017-08-31,Stolen,2B,2017,2018, 79.4, 0.78
43,1B,2B,Stolen Base 2B,660162,Yoán Moncada,621244,José Berríos,547170,Nicky Delmonico,R,Chris Gimenez,460269,2,0,4,False,2017-08-24,Stolen,2B,2017,2018, 79.4, 0.78
44,1B,2B,Stolen Base 2B,593700,Alen Hanson,519151,Ryan Pressly,573135,Tyler Saladino,R,Chris Gimenez,460269,5,1,7,False,2017-08-24,Stolen,2B,2017,2018, 79.4, 0.78
45,1B,2B,Stolen Base 2B,572041,AJ Pollock,112526,Bartolo Colon,571875,Jake Lamb,R,Chris Gimenez,460269,0,0,1,True,2017-08-20,Stolen,2B,2017,2018, 79.4, 0.78
46,1B,2B,Stolen Base 2B,606115,Orlando Arcia,112526,Bartolo Colon,519299,Eric Sogard,R,Chris Gimenez,460269,0,1,2,False,2017-08-09,Stolen,2B,2017,2018, 79.4, 0.78
47,1B,2B,Stolen Base 2B,460576,Carlos Gómez,573124,Taylor Rogers,455139,Robinson Chirinos,L,Chris Gimenez,460269,1,4,9,True,2017-08-05,Stolen,2B,2017,2018, 79.4, 0.78
48,1B,,Caught Stealing 2B,458731,Brett Gardner,621244,José Berríos,516770,Starlin Castro,R,Chris Gimenez,460269,0,0,1,True,2017-07-19,Caught,2B,2017,2018, 79.4, 0.78
49,1B,2B,Stolen Base 2B,543213,Johnny Giavotella,445213,Brandon Kintzler,452234,Seth Smith,R,Chris Gimenez,460269,9,6,9,True,2017-07-07,Stolen,2B,2017,2018, 79.4, 0.78
50,1B,,Caught Stealing 2B,519184,Ben Revere,502043,Kyle Gibson,492802,Juan Graterol,R,Chris Gimenez,460269,1,1,5,True,2017-07-04,Caught,2B,2017,2018, 79.4, 0.78
51,1B,2B,Stolen Base 2B,456715,Lorenzo Cain,608648,Tyler Duffey,543333,Eric Hosmer,R,Chris Gimenez,460269,6,6,6,False,2017-07-01,Stolen,2B,2017,2018, 79.4, 0.78
52,1B,2B,Stolen Base 2B,643217,Andrew Benintendi,621244,José Berríos,455759,Chris Young,R,Chris Gimenez,460269,2,0,1,False,2017-06-26,Stolen,2B,2017,2018, 79.4, 0.78
53,1B,2B,Stolen Base 2B,605548,Bradley Zimmer,573244,Adam Wilk,547379,Roberto Pérez,L,Chris Gimenez,460269,0,3,1,True,2017-06-17,Stolen,2B,2017,2018, 79.4, 0.78
54,1B,,Caught Stealing 2B,543401,Jason Kipnis,542953,Buddy Boshers,543706,Daniel Robertson,L,Chris Gimenez,460269,3,8,7,True,2017-06-17,Caught,2B,2017,2018, 79.4, 0.78
55,1B,2B,Stolen Base 2B,600301,Taylor Motter,621244,José Berríos,592325,Ben Gamel,R,Chris Gimenez,460269,5,1,3,True,2017-06-15,Stolen,2B,2017,2018, 79.4, 0.78
56,2B,3B,Stolen Base 3B,488862,Yunel Escobar,502043,Kyle Gibson,472528,Luis Valbuena,R,Chris Gimenez,460269,2,7,6,False,2017-06-02,Stolen,3B,2017,2018, 79.4, 0.78
57,1B,2B,Stolen Base 2B,542921,Tim Beckham,606167,Adalberto Mejía,489149,Logan Morrison,L,Chris Gimenez,460269,1,1,3,True,2017-05-27,Stolen,2B,2017,2018, 79.4, 0.78
58,1B,2B,Stolen Base 2B,596019,Francisco Lindor,502327,Héctor Santiago,488726,Michael Brantley,L,Chris Gimenez,460269,1,0,1,False,2017-05-14,Stolen,2B,2017,2018, 79.4, 0.78
59,2B,3B,Stolen Base 3B,643217,Andrew Benintendi,573124,Taylor Rogers,434670,Hanley Ramirez,L,Chris Gimenez,460269,4,6,8,True,2017-05-07,Stolen,3B,2017,2018, 79.4, 0.78
60,1B,2B,Stolen Base 2B,592261,Delino DeShields,502327,Héctor Santiago,462101,Elvis Andrus,L,Chris Gimenez,460269,0,0,1,False,2017-04-26,Stolen,2B,2017,2018, 79.4, 0.78
61,2B,,Caught Stealing 3B,592261,Delino DeShields,502327,Héctor Santiago,462101,Elvis Andrus,L,Chris Gimenez,460269,0,0,1,False,2017-04-26,Caught,3B,2017,2018, 79.4, 0.78
62,1B,2B,Stolen Base 2B,592261,Delino DeShields,502327,Héctor Santiago,462101,Elvis Andrus,L,Chris Gimenez,460269,0,2,5,False,2017-04-26,Stolen,2B,2017,2018, 79.4, 0.78
63,1B,2B,Stolen Base 2B,460576,Carlos Gómez,502327,Héctor Santiago,596059,Rougned Odor,L,Chris Gimenez,460269,2,2,5,False,2017-04-26,Stolen,2B,2017,2018, 79.4, 0.78
64,2B,,Caught Stealing 3B,596059,Rougned Odor,444520,Craig Breslow,608336,Joey Gallo,L,Chris Gimenez,460269,6,3,7,False,2017-04-26,Caught,3B,2017,2018, 79.4, 0.78
65,1B,2B,Caught Stealing 3B,607387,Ryan Rua,444520,Craig Breslow,608336,Joey Gallo,L,Chris Gimenez,460269,6,3,7,False,2017-04-26,Caught,3B,2017,2018, 79.4, 0.78
66,1B,2B,Stolen Base 2B,460576,Carlos Gómez,279571,Matt Belisle,435063,Mike Napoli,R,Chris Gimenez,460269,7,3,8,False,2017-04-26,Stolen,2B,2017,2018, 79.4, 0.78
67,1B,,Caught Stealing 2B,425783,Shin-Soo Choo,461833,Phil Hughes,608577,Nomar Mazara,R,Chris Gimenez,460269,0,0,1,False,2017-04-24,Caught,2B,2017,2018, 79.4, 0.78
68,2B,3B,Stolen Base 3B,462101,Elvis Andrus,461833,Phil Hughes,518960,Jonathan Lucroy,R,Chris Gimenez,460269,2,0,4,False,2017-04-24,Stolen,3B,2017,2018, 79.4, 0.78
69,1B,2B,Stolen Base 2B,608336,Joey Gallo,461833,Phil Hughes,518960,Jonathan Lucroy,R,Chris Gimenez,460269,2,0,4,False,2017-04-24,Stolen,2B,2017,2018, 79.4, 0.78
70,1B,,Caught Stealing 2B,592444,JaCoby Jones,461833,Phil Hughes,578428,Jose Iglesias,R,Chris Gimenez,460269,2,6,5,False,2017-04-13,Caught,2B,2017,2018, 79.4, 0.78
71,1B,2B,Stolen Base 2B,641313,Tim Anderson,461833,Phil Hughes,466320,Melky Cabrera,R,Chris Gimenez,460269,0,0,1,False,2017-04-07,Stolen,2B,2017,2018, 79.4, 0.78
72,1B,2B,Stolen Base 2B,545361,Mike Trout,605182,Mike Clevinger,527043,Jefry Marte,R,Chris Gimenez,460269,4,1,4,True,2016-08-13,Stolen,2B,2016,2017, 81.4, 0.76
73,1B,2B,Stolen Base 2B,485567,Ezequiel Carrera,502083,Zach McAllister,581527,Devon Travis,R,Chris Gimenez,460269,0,1,1,False,2016-07-02,Stolen,2B,2016,2017, 81.4, 0.76
74,2B,3B,Stolen Base 3B,581527,Devon Travis,488984,Tommy Hunter,429665,Edwin Encarnación,R,Chris Gimenez,460269,7,6,8,False,2016-07-02,Stolen,3B,2016,2017, 81.4, 0.76
75,1B,2B,Stolen Base 2B,518626,Josh Donaldson,488984,Tommy Hunter,429665,Edwin Encarnación,R,Chris Gimenez,460269,7,6,8,False,2016-07-02,Stolen,2B,2016,2017, 81.4, 0.76
76,1B,,Caught Stealing 2B,607054,Jace Peterson,545333,Trevor Bauer,542255,Ender Inciarte,R,Chris Gimenez,460269,2,4,5,False,2016-06-27,Caught,2B,2016,2017, 81.4, 0.76
77,1B,2B,Stolen Base 2B,435079,Ian Kinsler,517593,Danny Salazar,457727,Cameron Maybin,R,Chris Gimenez,460269,0,0,1,False,2016-06-24,Stolen,2B,2016,2017, 81.4, 0.76
78,1B,2B,Stolen Base 2B,493114,Norichika Aoki,471911,Carlos Carrasco,452234,Seth Smith,R,Chris Gimenez,460269,2,0,3,False,2016-06-08,Stolen,2B,2016,2017, 81.4, 0.76
79,1B,2B,Stolen Base 2B,606466,Ketel Marte,502083,Zach McAllister,455104,Chris Iannetta,R,Chris Gimenez,460269,4,0,7,False,2016-06-08,Stolen,2B,2016,2017, 81.4, 0.76
80,2B,3B,Stolen Base 3B,606466,Ketel Marte,502083,Zach McAllister,455104,Chris Iannetta,R,Chris Gimenez,460269,4,0,7,False,2016-06-08,Stolen,3B,2016,2017, 81.4, 0.76
81,1B,2B,Stolen Base 2B,606466,Ketel Marte,545333,Trevor Bauer,502523,Shawn O'Malley,R,Chris Gimenez,460269,0,0,3,False,2016-06-06,Stolen,2B,2016,2017, 81.4, 0.76
82,1B,2B,Stolen Base 2B,593160,Whit Merrifield,458708,Josh Tomlin,456715,Lorenzo Cain,R,Chris Gimenez,460269,0,0,1,True,2016-06-04,Stolen,2B,2016,2017, 81.4, 0.76
83,1B,,Caught Stealing 2B,543807,George Springer,545333,Trevor Bauer,621043,Carlos Correa,R,Chris Gimenez,460269,0,0,1,False,2016-05-10,Caught,2B,2016,2017, 81.4, 0.76
84,1B,2B,Stolen Base 2B,545361,Mike Trout,605182,Mike Clevinger,527043,Jefry Marte,R,Chris Gimenez,460269,4,1,4,True,2016-08-13,Stolen,2B,2016,2017, 81.4, 0.76
85,1B,2B,Stolen Base 2B,485567,Ezequiel Carrera,502083,Zach McAllister,581527,Devon Travis,R,Chris Gimenez,460269,0,1,1,False,2016-07-02,Stolen,2B,2016,2017, 81.4, 0.76
86,2B,3B,Stolen Base 3B,581527,Devon Travis,488984,Tommy Hunter,429665,Edwin Encarnación,R,Chris Gimenez,460269,7,6,8,False,2016-07-02,Stolen,3B,2016,2017, 81.4, 0.76
87,1B,2B,Stolen Base 2B,518626,Josh Donaldson,488984,Tommy Hunter,429665,Edwin Encarnación,R,Chris Gimenez,460269,7,6,8,False,2016-07-02,Stolen,2B,2016,2017, 81.4, 0.76
88,1B,,Caught Stealing 2B,607054,Jace Peterson,545333,Trevor Bauer,542255,Ender Inciarte,R,Chris Gimenez,460269,2,4,5,False,2016-06-27,Caught,2B,2016,2017, 81.4, 0.76
89,1B,2B,Stolen Base 2B,435079,Ian Kinsler,517593,Danny Salazar,457727,Cameron Maybin,R,Chris Gimenez,460269,0,0,1,False,2016-06-24,Stolen,2B,2016,2017, 81.4, 0.76
90,1B,2B,Stolen Base 2B,493114,Norichika Aoki,471911,Carlos Carrasco,452234,Seth Smith,R,Chris Gimenez,460269,2,0,3,False,2016-06-08,Stolen,2B,2016,2017, 81.4, 0.76
91,1B,2B,Stolen Base 2B,606466,Ketel Marte,502083,Zach McAllister,455104,Chris Iannetta,R,Chris Gimenez,460269,4,0,7,False,2016-06-08,Stolen,2B,2016,2017, 81.4, 0.76
92,2B,3B,Stolen Base 3B,606466,Ketel Marte,502083,Zach McAllister,455104,Chris Iannetta,R,Chris Gimenez,460269,4,0,7,False,2016-06-08,Stolen,3B,2016,2017, 81.4, 0.76
93,1B,2B,Stolen Base 2B,606466,Ketel Marte,545333,Trevor Bauer,502523,Shawn O'Malley,R,Chris Gimenez,460269,0,0,3,False,2016-06-06,Stolen,2B,2016,2017, 81.4, 0.76
94,1B,2B,Stolen Base 2B,593160,Whit Merrifield,458708,Josh Tomlin,456715,Lorenzo Cain,R,Chris Gimenez,460269,0,0,1,True,2016-06-04,Stolen,2B,2016,2017, 81.4, 0.76
95,1B,,Caught Stealing 2B,543807,George Springer,545333,Trevor Bauer,621043,Carlos Correa,R,Chris Gimenez,460269,0,0,1,False,2016-05-10,Caught,2B,2016,2017, 81.4, 0.76
96,1B,2B,Stolen Base 2B,545361,Mike Trout,605182,Mike Clevinger,527043,Jefry Marte,R,Chris Gimenez,460269,4,1,4,True,2016-08-13,Stolen,2B,2016,2017, 81.4, 0.76
97,1B,2B,Stolen Base 2B,485567,Ezequiel Carrera,502083,Zach McAllister,581527,Devon Travis,R,Chris Gimenez,460269,0,1,1,False,2016-07-02,Stolen,2B,2016,2017, 81.4, 0.76
98,2B,3B,Stolen Base 3B,581527,Devon Travis,488984,Tommy Hunter,429665,Edwin Encarnación,R,Chris Gimenez,460269,7,6,8,False,2016-07-02,Stolen,3B,2016,2017, 81.4, 0.76
99,1B,2B,Stolen Base 2B,518626,Josh Donaldson,488984,Tommy Hunter,429665,Edwin Encarnación,R,Chris Gimenez,460269,7,6,8,False,2016-07-02,Stolen,2B,2016,2017, 81.4, 0.76
100,1B,,Caught Stealing 2B,607054,Jace Peterson,545333,Trevor Bauer,542255,Ender Inciarte,R,Chris Gimenez,460269,2,4,5,False,2016-06-27,Caught,2B,2016,2017, 81.4, 0.76
101,1B,2B,Stolen Base 2B,435079,Ian Kinsler,517593,Danny Salazar,457727,Cameron Maybin,R,Chris Gimenez,460269,0,0,1,False,2016-06-24,Stolen,2B,2016,2017, 81.4, 0.76
102,1B,2B,Stolen Base 2B,493114,Norichika Aoki,471911,Carlos Carrasco,452234,Seth Smith,R,Chris Gimenez,460269,2,0,3,False,2016-06-08,Stolen,2B,2016,2017, 81.4, 0.76
103,1B,2B,Stolen Base 2B,606466,Ketel Marte,502083,Zach McAllister,455104,Chris Iannetta,R,Chris Gimenez,460269,4,0,7,False,2016-06-08,Stolen,2B,2016,2017, 81.4, 0.76
104,2B,3B,Stolen Base 3B,606466,Ketel Marte,502083,Zach McAllister,455104,Chris Iannetta,R,Chris Gimenez,460269,4,0,7,False,2016-06-08,Stolen,3B,2016,2017, 81.4, 0.76
