Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
1B,2B,Stolen Base 2B,456665,Steve Pearce,545333,Trevor Bauer,429666,J.J. Hardy,R,Carlos Santana,467793,0,2,2,False,2014-05-25,Stolen,2B
1B,2B,Stolen Base 2B,518953,David Lough,545333,Trevor Bauer,543376,Caleb Joseph,R,Carlos Santana,467793,2,2,4,False,2014-05-25,Stolen,2B
1B,2B,Stolen Base 2B,435079,Ian Kinsler,502083,Zach McAllister,408234,Miguel Cabrera,R,Carlos Santana,467793,1,4,2,True,2014-05-21,Stolen,2B
1B,,Caught Stealing 2B,502110,J.D. Martinez,425786,Scott Atchison,592206,Nick Castellanos,R,Carlos Santana,467793,6,5,3,True,2014-05-21,Caught,2B
1B,,Caught Stealing 2B,452095,Tyler Flowers,475416,Justin Masterson,543760,Marcus Semien,R,Carlos Santana,467793,1,0,3,True,2014-05-03,Caught,2B
1B,2B,Stolen Base 2B,434636,Ángel Pagán,471911,Carlos Carrasco,452254,Hunter Pence,R,Carlos Santana,467793,3,1,3,False,2014-04-25,Stolen,2B
1B,,Caught Stealing 2B,452254,Hunter Pence,471911,Carlos Carrasco,474832,Brandon Belt,R,Carlos Santana,467793,3,1,3,False,2014-04-25,Caught,2B
1B,2B,Stolen Base 2B,466320,Melky Cabrera,471911,Carlos Carrasco,430832,José Bautista,R,Carlos Santana,467793,2,4,5,True,2014-04-20,Stolen,2B
1B,2B,Stolen Base 2B,465784,Everth Cabrera,545333,Trevor Bauer,456121,Chris Denorfia,R,Carlos Santana,467793,0,1,3,True,2014-04-09,Stolen,2B
2B,,Caught Stealing 3B,465784,Everth Cabrera,545333,Trevor Bauer,452234,Seth Smith,R,Carlos Santana,467793,0,1,3,True,2014-04-09,Caught,3B
1B,2B,Stolen Base 2B,506560,Alexi Amarista,543766,Bryan Shaw,425784,René Rivera,R,Carlos Santana,467793,1,2,7,True,2014-04-09,Stolen,2B
1B,2B,Stolen Base 2B,465784,Everth Cabrera,545333,Trevor Bauer,456121,Chris Denorfia,R,Carlos Santana,467793,0,1,3,True,2014-04-07,Stolen,2B
2B,,Caught Stealing 3B,465784,Everth Cabrera,545333,Trevor Bauer,452234,Seth Smith,R,Carlos Santana,467793,0,1,3,True,2014-04-07,Caught,3B
1B,2B,Stolen Base 2B,506560,Alexi Amarista,543766,Bryan Shaw,425784,René Rivera,R,Carlos Santana,467793,1,2,7,True,2014-04-07,Stolen,2B
1B,2B,Stolen Base 2B,453539,Sam Fuld,502083,Zach McAllister,518626,Josh Donaldson,R,Carlos Santana,467793,3,2,4,False,2014-04-02,Stolen,2B
1B,2B,Stolen Base 2B,453539,Sam Fuld,502083,Zach McAllister,518626,Josh Donaldson,R,Carlos Santana,467793,3,2,4,False,2014-04-01,Stolen,2B
1B,2B,Stolen Base 2B,456665,Steve Pearce,545333,Trevor Bauer,429666,J.J. Hardy,R,Carlos Santana,467793,0,2,2,False,2014-05-25,Stolen,2B
1B,2B,Stolen Base 2B,518953,David Lough,545333,Trevor Bauer,543376,Caleb Joseph,R,Carlos Santana,467793,2,2,4,False,2014-05-25,Stolen,2B
1B,2B,Stolen Base 2B,435079,Ian Kinsler,502083,Zach McAllister,408234,Miguel Cabrera,R,Carlos Santana,467793,1,4,2,True,2014-05-21,Stolen,2B
1B,,Caught Stealing 2B,502110,J.D. Martinez,425786,Scott Atchison,592206,Nick Castellanos,R,Carlos Santana,467793,6,5,3,True,2014-05-21,Caught,2B
1B,,Caught Stealing 2B,452095,Tyler Flowers,475416,Justin Masterson,543760,Marcus Semien,R,Carlos Santana,467793,1,0,3,True,2014-05-03,Caught,2B
1B,2B,Stolen Base 2B,434636,Ángel Pagán,471911,Carlos Carrasco,452254,Hunter Pence,R,Carlos Santana,467793,3,1,3,False,2014-04-25,Stolen,2B
1B,,Caught Stealing 2B,452254,Hunter Pence,471911,Carlos Carrasco,474832,Brandon Belt,R,Carlos Santana,467793,3,1,3,False,2014-04-25,Caught,2B
1B,2B,Stolen Base 2B,466320,Melky Cabrera,471911,Carlos Carrasco,430832,José Bautista,R,Carlos Santana,467793,2,4,5,True,2014-04-20,Stolen,2B
1B,2B,Stolen Base 2B,465784,Everth Cabrera,545333,Trevor Bauer,456121,Chris Denorfia,R,Carlos Santana,467793,0,1,3,True,2014-04-09,Stolen,2B
2B,,Caught Stealing 3B,465784,Everth Cabrera,545333,Trevor Bauer,452234,Seth Smith,R,Carlos Santana,467793,0,1,3,True,2014-04-09,Caught,3B
