,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
29,1B,,Caught Stealing 2B,488862,Yunel Escobar,445060,Ricky Nolasco,542364,Rafael Ortega,R,John Ryan Murphy,571974,3,4,5,True,2016-04-16,Caught,2B,2016,2017, --, --
30,1B,2B,Stolen Base 2B,453943,Todd Frazier,543507,Trevor May,543434,Brett Lawrie,R,John Ryan Murphy,571974,1,3,8,True,2016-04-14,Stolen,2B,2016,2017, --, --
31,1B,,Caught Stealing 2B,542999,Tony Campana,519151,Ryan Pressly,446653,Jose Lobaton,R,John Ryan Murphy,571974,5,8,6,False,2016-04-02,Caught,2B,2016,2017, --, --
32,1B,2B,Stolen Base 2B,607208,Trea Turner,519151,Ryan Pressly,519208,Clint Robinson,R,John Ryan Murphy,571974,5,8,6,False,2016-04-02,Stolen,2B,2016,2017, --, --
33,1B,,Caught Stealing 2B,449181,Paulo Orlando,502043,Kyle Gibson,460086,Alex Gordon,R,John Ryan Murphy,571974,2,1,6,False,2016-09-29,Caught,2B,2016,2017, --, --
34,2B,3B,Stolen Base 3B,502481,Jarrod Dyson,573124,Taylor Rogers,593160,Whit Merrifield,L,John Ryan Murphy,571974,2,2,8,False,2016-09-28,Stolen,3B,2016,2017, --, --
35,1B,2B,Stolen Base 2B,461865,Andrew Romine,542953,Buddy Boshers,457727,Cameron Maybin,L,John Ryan Murphy,571974,1,2,8,True,2016-09-22,Stolen,2B,2016,2017, --, --
36,1B,2B,Stolen Base 2B,461865,Andrew Romine,542953,Buddy Boshers,457727,Cameron Maybin,L,John Ryan Murphy,571974,1,2,8,True,2016-09-21,Stolen,2B,2016,2017, --, --
37,1B,,Caught Stealing 2B,502110,J.D. Martinez,502327,Héctor Santiago,592444,JaCoby Jones,L,John Ryan Murphy,571974,0,0,2,True,2016-09-20,Caught,2B,2016,2017, --, --
38,1B,2B,Stolen Base 2B,578428,Jose Iglesias,502327,Héctor Santiago,502110,J.D. Martinez,L,John Ryan Murphy,571974,0,2,6,True,2016-09-20,Stolen,2B,2016,2017, --, --
39,1B,2B,Stolen Base 2B,605253,Terrance Gore,573124,Taylor Rogers,460086,Alex Gordon,L,John Ryan Murphy,571974,5,4,8,True,2016-09-07,Stolen,2B,2016,2017, --, --
40,2B,3B,Stolen Base 3B,605253,Terrance Gore,519151,Ryan Pressly,596144,Cheslor Cuthbert,R,John Ryan Murphy,571974,5,4,8,True,2016-09-07,Stolen,3B,2016,2017, --, --
41,1B,,Caught Stealing 2B,594809,Adam Eaton,452027,Andrew Albers,466320,Melky Cabrera,L,John Ryan Murphy,571974,0,4,2,True,2016-09-04,Caught,2B,2016,2017, --, --
42,1B,2B,Stolen Base 2B,461865,Andrew Romine,543859,Michael Tonkin,457454,Jarrod Saltalamacchia,R,John Ryan Murphy,571974,1,4,9,True,2016-04-30,Stolen,2B,2016,2017, --, --
43,1B,2B,Stolen Base 2B,457787,Danny Espinosa,543859,Michael Tonkin,424144,Oliver Pérez,R,John Ryan Murphy,571974,5,5,15,False,2016-04-24,Stolen,2B,2016,2017, --, --
44,1B,2B,Stolen Base 2B,542364,Rafael Ortega,445060,Ricky Nolasco,545361,Mike Trout,R,John Ryan Murphy,571974,2,4,2,True,2016-04-16,Stolen,2B,2016,2017, --, --
45,1B,,Caught Stealing 2B,488862,Yunel Escobar,445060,Ricky Nolasco,542364,Rafael Ortega,R,John Ryan Murphy,571974,3,4,5,True,2016-04-16,Caught,2B,2016,2017, --, --
46,1B,2B,Stolen Base 2B,453943,Todd Frazier,543507,Trevor May,543434,Brett Lawrie,R,John Ryan Murphy,571974,1,3,8,True,2016-04-14,Stolen,2B,2016,2017, --, --
47,1B,,Caught Stealing 2B,542999,Tony Campana,519151,Ryan Pressly,446653,Jose Lobaton,R,John Ryan Murphy,571974,5,8,6,False,2016-04-02,Caught,2B,2016,2017, --, --
48,1B,2B,Stolen Base 2B,607208,Trea Turner,519151,Ryan Pressly,519208,Clint Robinson,R,John Ryan Murphy,571974,5,8,6,False,2016-04-02,Stolen,2B,2016,2017, --, --
49,1B,,Caught Stealing 2B,449181,Paulo Orlando,502043,Kyle Gibson,460086,Alex Gordon,R,John Ryan Murphy,571974,2,1,6,False,2016-09-29,Caught,2B,2016,2017, --, --
50,2B,3B,Stolen Base 3B,502481,Jarrod Dyson,573124,Taylor Rogers,593160,Whit Merrifield,L,John Ryan Murphy,571974,2,2,8,False,2016-09-28,Stolen,3B,2016,2017, --, --
51,1B,2B,Stolen Base 2B,461865,Andrew Romine,542953,Buddy Boshers,457727,Cameron Maybin,L,John Ryan Murphy,571974,1,2,8,True,2016-09-22,Stolen,2B,2016,2017, --, --
52,1B,2B,Stolen Base 2B,461865,Andrew Romine,542953,Buddy Boshers,457727,Cameron Maybin,L,John Ryan Murphy,571974,1,2,8,True,2016-09-21,Stolen,2B,2016,2017, --, --
53,1B,,Caught Stealing 2B,502110,J.D. Martinez,502327,Héctor Santiago,592444,JaCoby Jones,L,John Ryan Murphy,571974,0,0,2,True,2016-09-20,Caught,2B,2016,2017, --, --
54,1B,2B,Stolen Base 2B,578428,Jose Iglesias,502327,Héctor Santiago,502110,J.D. Martinez,L,John Ryan Murphy,571974,0,2,6,True,2016-09-20,Stolen,2B,2016,2017, --, --
55,1B,2B,Stolen Base 2B,605253,Terrance Gore,573124,Taylor Rogers,460086,Alex Gordon,L,John Ryan Murphy,571974,5,4,8,True,2016-09-07,Stolen,2B,2016,2017, --, --
56,2B,3B,Stolen Base 3B,605253,Terrance Gore,519151,Ryan Pressly,596144,Cheslor Cuthbert,R,John Ryan Murphy,571974,5,4,8,True,2016-09-07,Stolen,3B,2016,2017, --, --
57,1B,,Caught Stealing 2B,594809,Adam Eaton,452027,Andrew Albers,466320,Melky Cabrera,L,John Ryan Murphy,571974,0,4,2,True,2016-09-04,Caught,2B,2016,2017, --, --
58,1B,2B,Stolen Base 2B,461865,Andrew Romine,543859,Michael Tonkin,457454,Jarrod Saltalamacchia,R,John Ryan Murphy,571974,1,4,9,True,2016-04-30,Stolen,2B,2016,2017, --, --
59,1B,2B,Stolen Base 2B,457787,Danny Espinosa,543859,Michael Tonkin,424144,Oliver Pérez,R,John Ryan Murphy,571974,5,5,15,False,2016-04-24,Stolen,2B,2016,2017, --, --
60,1B,2B,Stolen Base 2B,542364,Rafael Ortega,445060,Ricky Nolasco,545361,Mike Trout,R,John Ryan Murphy,571974,2,4,2,True,2016-04-16,Stolen,2B,2016,2017, --, --
61,1B,,Caught Stealing 2B,488862,Yunel Escobar,445060,Ricky Nolasco,542364,Rafael Ortega,R,John Ryan Murphy,571974,3,4,5,True,2016-04-16,Caught,2B,2016,2017, --, --
62,1B,2B,Stolen Base 2B,453943,Todd Frazier,543507,Trevor May,543434,Brett Lawrie,R,John Ryan Murphy,571974,1,3,8,True,2016-04-14,Stolen,2B,2016,2017, --, --
63,1B,,Caught Stealing 2B,542999,Tony Campana,519151,Ryan Pressly,446653,Jose Lobaton,R,John Ryan Murphy,571974,5,8,6,False,2016-04-02,Caught,2B,2016,2017, --, --
64,1B,2B,Stolen Base 2B,607208,Trea Turner,519151,Ryan Pressly,519208,Clint Robinson,R,John Ryan Murphy,571974,5,8,6,False,2016-04-02,Stolen,2B,2016,2017, --, --
