,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year,Arm_Strength,Exchange
0,2B,3B,Stolen Base 3B,621020,Dansby Swanson,605388,Adam Morgan,605480,Mallex Smith,L,Cameron Rupp,519237,4,1,3,False,2016-09-28,Stolen,3B,2016,2017, 85.2, 0.84
1,1B,2B,Stolen Base 2B,605480,Mallex Smith,570257,Joely Rodríguez,461314,Matt Kemp,L,Cameron Rupp,519237,5,6,7,False,2016-09-27,Stolen,2B,2016,2017, 85.2, 0.84
2,1B,,Caught Stealing 2B,544725,Leury García,591693,Edubray Ramos,543776,JB Shuck,R,Cameron Rupp,519237,7,3,7,True,2016-09-20,Caught,2B,2016,2017, 85.2, 0.84
3,1B,2B,Stolen Base 2B,543829,Dee Strange-Gordon,605388,Adam Morgan,519317,Giancarlo Stanton,L,Cameron Rupp,519237,0,0,5,True,2016-09-16,Stolen,2B,2016,2017, 85.2, 0.84
4,1B,2B,Stolen Base 2B,543829,Dee Strange-Gordon,591693,Edubray Ramos,400085,Ichiro Suzuki,R,Cameron Rupp,519237,3,3,8,True,2016-09-16,Stolen,2B,2016,2017, 85.2, 0.84
5,1B,,Caught Stealing 2B,446481,Sean Rodríguez,622097,Jake Thompson,474568,Jordy Mercer,R,Cameron Rupp,519237,0,0,2,True,2016-09-14,Caught,2B,2016,2017, 85.2, 0.84
6,1B,2B,Stolen Base 2B,570256,Gregory Polanco,622097,Jake Thompson,501896,David Freese,R,Cameron Rupp,519237,4,1,4,True,2016-09-14,Stolen,2B,2016,2017, 85.2, 0.84
7,1B,,Caught Stealing 2B,592663,J.T. Realmuto,595191,Jerad Eickhoff,518618,Derek Dietrich,R,Cameron Rupp,519237,2,0,1,False,2016-09-05,Caught,2B,2016,2017, 85.2, 0.84
8,1B,2B,Stolen Base 2B,607208,Trea Turner,592527,Michael Mariot,150029,Jayson Werth,R,Cameron Rupp,519237,0,3,7,True,2016-08-30,Stolen,2B,2016,2017, 85.2, 0.84
9,1B,2B,Stolen Base 2B,457477,Alejandro De Aza,476451,Jeremy Hellickson,434158,Curtis Granderson,R,Cameron Rupp,519237,2,1,3,False,2016-08-27,Stolen,2B,2016,2017, 85.2, 0.84
