Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
1B,2B,Stolen Base 2B,458913,Eric Young Jr.,571735,David Hale,502517,Daniel Murphy,R,Ryan Doumit,425491,0,1,1,True,2014-04-10,Stolen,2B
1B,2B,Stolen Base 2B,458913,Eric Young Jr.,571735,David Hale,502517,Daniel Murphy,R,Ryan Doumit,425491,1,1,3,True,2014-04-10,Stolen,2B
1B,2B,Stolen Base 2B,434158,Curtis Granderson,571735,David Hale,477195,Ike Davis,R,Ryan Doumit,425491,4,4,5,True,2014-04-10,Stolen,2B
2B,3B,Stolen Base 3B,502517,Daniel Murphy,501593,Luis Avilán,434158,Curtis Granderson,L,Ryan Doumit,425491,4,4,7,True,2014-04-10,Stolen,3B
1B,2B,Stolen Base 2B,458913,Eric Young Jr.,534576,Gus Schlosser,502517,Daniel Murphy,R,Ryan Doumit,425491,4,6,8,True,2014-04-10,Stolen,2B
1B,2B,Stolen Base 2B,452655,Denard Span,527054,Julio Teheran,547180,Bryce Harper,R,Ryan Doumit,425491,0,0,1,False,2014-04-05,Stolen,2B
2B,3B,Stolen Base 3B,150029,Jayson Werth,527054,Julio Teheran,543685,Anthony Rendon,R,Ryan Doumit,425491,2,6,6,False,2014-04-05,Stolen,3B
1B,2B,Stolen Base 2B,458913,Eric Young Jr.,571735,David Hale,502517,Daniel Murphy,R,Ryan Doumit,425491,0,1,1,True,2014-04-10,Stolen,2B
1B,2B,Stolen Base 2B,458913,Eric Young Jr.,571735,David Hale,502517,Daniel Murphy,R,Ryan Doumit,425491,1,1,3,True,2014-04-10,Stolen,2B
1B,2B,Stolen Base 2B,434158,Curtis Granderson,571735,David Hale,477195,Ike Davis,R,Ryan Doumit,425491,4,4,5,True,2014-04-10,Stolen,2B
2B,3B,Stolen Base 3B,502517,Daniel Murphy,501593,Luis Avilán,434158,Curtis Granderson,L,Ryan Doumit,425491,4,4,7,True,2014-04-10,Stolen,3B
1B,2B,Stolen Base 2B,458913,Eric Young Jr.,534576,Gus Schlosser,502517,Daniel Murphy,R,Ryan Doumit,425491,4,6,8,True,2014-04-10,Stolen,2B
1B,2B,Stolen Base 2B,452655,Denard Span,527054,Julio Teheran,547180,Bryce Harper,R,Ryan Doumit,425491,0,0,1,False,2014-04-05,Stolen,2B
2B,3B,Stolen Base 3B,150029,Jayson Werth,527054,Julio Teheran,543685,Anthony Rendon,R,Ryan Doumit,425491,2,6,6,False,2014-04-05,Stolen,3B
