Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
1B,2B,Stolen Base 2B,460576,Carlos Gómez,425794,Adam Wainwright,571697,Scooter Gennett,R,George Kottaras,435459,0,6,3,False,2014-07-12,Stolen,2B
2B,3B,Stolen Base 3B,456715,Lorenzo Cain,543334,TJ House,543333,Eric Hosmer,L,George Kottaras,435459,0,1,1,True,2014-07-05,Stolen,3B
1B,2B,Stolen Base 2B,444876,Alcides Escobar,592102,Cody Allen,502481,Jarrod Dyson,R,George Kottaras,435459,7,3,9,True,2014-07-05,Stolen,2B
1B,,Caught Stealing 2B,543829,Dee Strange-Gordon,425786,Scott Atchison,624577,Yasiel Puig,R,George Kottaras,435459,3,7,6,False,2014-07-01,Caught,2B
1B,2B,Stolen Base 2B,435079,Ian Kinsler,458708,Josh Tomlin,457706,Austin Jackson,R,George Kottaras,435459,0,2,5,True,2014-06-22,Stolen,2B
1B,2B,Stolen Base 2B,545361,Mike Trout,545333,Trevor Bauer,405395,Albert Pujols,R,George Kottaras,435459,2,2,3,True,2014-06-16,Stolen,2B
2B,3B,Stolen Base 3B,545361,Mike Trout,545333,Trevor Bauer,285078,Josh Hamilton,R,George Kottaras,435459,2,2,3,True,2014-06-16,Stolen,3B
1B,2B,Stolen Base 2B,116380,Raul Ibanez,545333,Trevor Bauer,455104,Chris Iannetta,R,George Kottaras,435459,4,3,5,True,2014-06-16,Stolen,2B
1B,,Caught Stealing 2B,116380,Raul Ibanez,471911,Carlos Carrasco,455104,Chris Iannetta,R,George Kottaras,435459,4,3,8,True,2014-06-16,Caught,2B
1B,2B,Stolen Base 2B,596143,Luis Sardinas,446099,John Axford,543706,Daniel Robertson,R,George Kottaras,435459,6,13,6,False,2014-06-09,Stolen,2B
1B,2B,Stolen Base 2B,544725,Leury García,446372,Corey Kluber,457477,Alejandro De Aza,R,George Kottaras,435459,3,1,5,True,2014-05-04,Stolen,2B
1B,2B,Stolen Base 2B,460576,Carlos Gómez,425794,Adam Wainwright,571697,Scooter Gennett,R,George Kottaras,435459,0,6,3,False,2014-07-12,Stolen,2B
2B,3B,Stolen Base 3B,456715,Lorenzo Cain,543334,TJ House,543333,Eric Hosmer,L,George Kottaras,435459,0,1,1,True,2014-07-05,Stolen,3B
1B,2B,Stolen Base 2B,444876,Alcides Escobar,592102,Cody Allen,502481,Jarrod Dyson,R,George Kottaras,435459,7,3,9,True,2014-07-05,Stolen,2B
1B,,Caught Stealing 2B,543829,Dee Strange-Gordon,425786,Scott Atchison,624577,Yasiel Puig,R,George Kottaras,435459,3,7,6,False,2014-07-01,Caught,2B
1B,2B,Stolen Base 2B,435079,Ian Kinsler,458708,Josh Tomlin,457706,Austin Jackson,R,George Kottaras,435459,0,2,5,True,2014-06-22,Stolen,2B
1B,2B,Stolen Base 2B,545361,Mike Trout,545333,Trevor Bauer,405395,Albert Pujols,R,George Kottaras,435459,2,2,3,True,2014-06-16,Stolen,2B
2B,3B,Stolen Base 3B,545361,Mike Trout,545333,Trevor Bauer,285078,Josh Hamilton,R,George Kottaras,435459,2,2,3,True,2014-06-16,Stolen,3B
1B,2B,Stolen Base 2B,116380,Raul Ibanez,545333,Trevor Bauer,455104,Chris Iannetta,R,George Kottaras,435459,4,3,5,True,2014-06-16,Stolen,2B
1B,,Caught Stealing 2B,116380,Raul Ibanez,471911,Carlos Carrasco,455104,Chris Iannetta,R,George Kottaras,435459,4,3,8,True,2014-06-16,Caught,2B
1B,2B,Stolen Base 2B,596143,Luis Sardinas,446099,John Axford,543706,Daniel Robertson,R,George Kottaras,435459,6,13,6,False,2014-06-09,Stolen,2B
1B,2B,Stolen Base 2B,544725,Leury García,446372,Corey Kluber,457477,Alejandro De Aza,R,George Kottaras,435459,3,1,5,True,2014-05-04,Stolen,2B
