Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
1B,2B,Stolen Base 2B,594838,Phil Gosselin,472551,Fernando Abad,518692,Freddie Freeman,L,John Jaso,444379,4,2,7,False,2014-08-16,Stolen,2B
1B,2B,Stolen Base 2B,518568,Christian Colón,502188,Jeff Samardzija,493114,Norichika Aoki,R,John Jaso,444379,1,0,3,False,2014-08-14,Stolen,2B
2B,3B,Stolen Base 3B,460086,Alex Gordon,502188,Jeff Samardzija,519058,Mike Moustakas,R,John Jaso,444379,2,1,4,False,2014-08-14,Stolen,3B
1B,2B,Stolen Base 2B,456715,Lorenzo Cain,448281,Sean Doolittle,502481,Jarrod Dyson,L,John Jaso,444379,7,3,8,False,2014-08-14,Stolen,2B
1B,2B,Stolen Base 2B,457788,Jordan Schafer,434628,Jason Hammel,542454,Danny Santana,R,John Jaso,444379,1,1,3,True,2014-08-10,Stolen,2B
1B,2B,Stolen Base 2B,456488,Eduardo Núñez,434628,Jason Hammel,500871,Eduardo Escobar,R,John Jaso,444379,1,1,7,True,2014-08-10,Stolen,2B
1B,2B,Stolen Base 2B,542454,Danny Santana,502381,Luke Gregerson,572821,Brian Dozier,R,John Jaso,444379,1,1,8,True,2014-08-10,Stolen,2B
1B,2B,Stolen Base 2B,502481,Jarrod Dyson,447714,Eric O'Flaherty,493114,Norichika Aoki,L,John Jaso,444379,0,1,8,True,2014-08-01,Stolen,2B
1B,2B,Stolen Base 2B,451192,James Adduci,543243,Sonny Gray,450317,J.P. Arencibia,R,John Jaso,444379,1,0,4,False,2014-07-26,Stolen,2B
1B,,Caught Stealing 2B,514888,Jose Altuve,519096,Dan Otero,571771,Enrique Hernández,R,John Jaso,444379,2,2,10,True,2014-07-22,Caught,2B
1B,2B,Stolen Base 2B,489149,Logan Morrison,543243,Sonny Gray,554429,Dustin Ackley,R,John Jaso,444379,1,0,4,False,2014-07-13,Stolen,2B
1B,2B,Stolen Base 2B,592206,Nick Castellanos,431148,Scott Kazmir,553993,Eugenio Suárez,L,John Jaso,444379,0,0,2,False,2014-06-30,Stolen,2B
1B,2B,Stolen Base 2B,435079,Ian Kinsler,431148,Scott Kazmir,408234,Miguel Cabrera,L,John Jaso,444379,0,0,3,False,2014-06-30,Stolen,2B
1B,2B,Stolen Base 2B,434658,Rajai Davis,431148,Scott Kazmir,435079,Ian Kinsler,L,John Jaso,444379,0,0,5,False,2014-06-30,Stolen,2B
1B,2B,Stolen Base 2B,431171,Casey McGehee,448281,Sean Doolittle,434540,Garrett Jones,L,John Jaso,444379,6,6,9,False,2014-06-28,Stolen,2B
1B,2B,Stolen Base 2B,543706,Daniel Robertson,543548,Tommy Milone,462101,Elvis Andrus,L,John Jaso,444379,0,0,1,True,2014-06-17,Stolen,2B
3B,,Caught Stealing Home,443558,Nelson Cruz,472551,Fernando Abad,448801,Chris Davis,L,John Jaso,444379,3,3,10,False,2014-06-06,Caught,Home
1B,2B,Stolen Base 2B,453056,Jacoby Ellsbury,519141,Drew Pomeranz,407893,Mark Teixeira,L,John Jaso,444379,2,1,6,False,2014-06-05,Stolen,2B
