Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
1B,2B,Stolen Base 2B,547982,Leonys Martin,502327,Héctor Santiago,462101,Elvis Andrus,L,John Buck,407833,0,0,1,True,2014-09-19,Stolen,2B
1B,,Caught Stealing 2B,547982,Leonys Martin,541640,Erasmo Ramírez,462101,Elvis Andrus,R,John Buck,407833,0,0,1,True,2014-06-14,Caught,2B
1B,2B,Stolen Base 2B,547982,Leonys Martin,541640,Erasmo Ramírez,462101,Elvis Andrus,R,John Buck,407833,0,0,5,True,2014-06-14,Stolen,2B
2B,3B,Stolen Base 3B,547982,Leonys Martin,407845,Fernando Rodney,462101,Elvis Andrus,R,John Buck,407833,3,4,9,True,2014-06-14,Stolen,3B
1B,2B,Stolen Base 2B,425834,B.J. Upton,541640,Erasmo Ramírez,518692,Freddie Freeman,R,John Buck,407833,1,0,1,False,2014-06-03,Stolen,2B
1B,2B,Stolen Base 2B,451594,Dexter Fowler,452666,Tom Wilhelmsen,518625,Matt Dominguez,R,John Buck,407833,2,6,5,True,2014-05-24,Stolen,2B
1B,,Caught Stealing 2B,543706,Daniel Robertson,432934,Chris Young,462101,Elvis Andrus,R,John Buck,407833,4,3,6,False,2014-05-21,Caught,2B
1B,2B,Stolen Base 2B,425567,Alex Rios,452666,Tom Wilhelmsen,519048,Mitch Moreland,R,John Buck,407833,4,3,8,False,2014-05-21,Stolen,2B
1B,,Caught Stealing 2B,450314,Ben Zobrist,608678,Dominic Leone,430203,David DeJesus,R,John Buck,407833,0,2,5,True,2014-05-14,Caught,2B
1B,2B,Stolen Base 2B,519083,Derek Norris,452666,Tom Wilhelmsen,430948,Alberto Callaspo,R,John Buck,407833,2,0,7,False,2014-05-07,Stolen,2B
1B,2B,Stolen Base 2B,547982,Leonys Martin,543506,Brandon Maurer,425543,Josh Wilson,R,John Buck,407833,0,4,4,True,2014-04-27,Stolen,2B
1B,2B,Stolen Base 2B,462101,Elvis Andrus,541640,Erasmo Ramírez,425567,Alex Rios,R,John Buck,407833,4,0,2,False,2014-04-17,Stolen,2B
1B,2B,Stolen Base 2B,425567,Alex Rios,608678,Dominic Leone,425902,Prince Fielder,R,John Buck,407833,6,6,4,False,2014-04-17,Stolen,2B
1B,2B,Stolen Base 2B,462101,Elvis Andrus,452666,Tom Wilhelmsen,425567,Alex Rios,R,John Buck,407833,8,6,8,False,2014-04-17,Stolen,2B
1B,2B,Stolen Base 2B,519299,Eric Sogard,608678,Dominic Leone,424825,Coco Crisp,R,John Buck,407833,1,3,7,True,2014-04-12,Stolen,2B
1B,2B,Stolen Base 2B,519083,Derek Norris,452666,Tom Wilhelmsen,430948,Alberto Callaspo,R,John Buck,407833,2,0,7,False,2014-04-04,Stolen,2B
1B,2B,Stolen Base 2B,547982,Leonys Martin,502327,Héctor Santiago,462101,Elvis Andrus,L,John Buck,407833,0,0,1,True,2014-09-19,Stolen,2B
1B,,Caught Stealing 2B,547982,Leonys Martin,541640,Erasmo Ramírez,462101,Elvis Andrus,R,John Buck,407833,0,0,1,True,2014-06-14,Caught,2B
1B,2B,Stolen Base 2B,547982,Leonys Martin,541640,Erasmo Ramírez,462101,Elvis Andrus,R,John Buck,407833,0,0,5,True,2014-06-14,Stolen,2B
2B,3B,Stolen Base 3B,547982,Leonys Martin,407845,Fernando Rodney,462101,Elvis Andrus,R,John Buck,407833,3,4,9,True,2014-06-14,Stolen,3B
1B,2B,Stolen Base 2B,425834,B.J. Upton,541640,Erasmo Ramírez,518692,Freddie Freeman,R,John Buck,407833,1,0,1,False,2014-06-03,Stolen,2B
1B,2B,Stolen Base 2B,451594,Dexter Fowler,452666,Tom Wilhelmsen,518625,Matt Dominguez,R,John Buck,407833,2,6,5,True,2014-05-24,Stolen,2B
1B,,Caught Stealing 2B,543706,Daniel Robertson,432934,Chris Young,462101,Elvis Andrus,R,John Buck,407833,4,3,6,False,2014-05-21,Caught,2B
1B,2B,Stolen Base 2B,425567,Alex Rios,452666,Tom Wilhelmsen,519048,Mitch Moreland,R,John Buck,407833,4,3,8,False,2014-05-21,Stolen,2B
1B,,Caught Stealing 2B,450314,Ben Zobrist,608678,Dominic Leone,430203,David DeJesus,R,John Buck,407833,0,2,5,True,2014-05-14,Caught,2B
1B,2B,Stolen Base 2B,519083,Derek Norris,452666,Tom Wilhelmsen,430948,Alberto Callaspo,R,John Buck,407833,2,0,7,False,2014-05-07,Stolen,2B
1B,2B,Stolen Base 2B,547982,Leonys Martin,543506,Brandon Maurer,425543,Josh Wilson,R,John Buck,407833,0,4,4,True,2014-04-27,Stolen,2B
1B,2B,Stolen Base 2B,462101,Elvis Andrus,541640,Erasmo Ramírez,425567,Alex Rios,R,John Buck,407833,4,0,2,False,2014-04-17,Stolen,2B
1B,2B,Stolen Base 2B,425567,Alex Rios,608678,Dominic Leone,425902,Prince Fielder,R,John Buck,407833,6,6,4,False,2014-04-17,Stolen,2B
1B,2B,Stolen Base 2B,462101,Elvis Andrus,452666,Tom Wilhelmsen,425567,Alex Rios,R,John Buck,407833,8,6,8,False,2014-04-17,Stolen,2B
1B,2B,Stolen Base 2B,519299,Eric Sogard,608678,Dominic Leone,424825,Coco Crisp,R,John Buck,407833,1,3,7,True,2014-04-12,Stolen,2B
1B,2B,Stolen Base 2B,519083,Derek Norris,452666,Tom Wilhelmsen,430948,Alberto Callaspo,R,John Buck,407833,2,0,7,False,2014-04-04,Stolen,2B
