Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base
1B,2B,Stolen Base 2B,459964,Matt Joyce,435045,Sergio Santos,501896,David Freese,R,Shawn Zarraga,519452,1,0,1,False,2015-04-02,Stolen,2B
1B,2B,Stolen Base 2B,545361,Mike Trout,571893,Adam Liberatore,459964,Matt Joyce,L,Shawn Zarraga,519452,1,0,3,False,2015-04-02,Stolen,2B
