,Start_Base,End_Base,Event,runner_id,runner_name,credit,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year
1112,1B,2B,Stolen Base 2B,456078,Welington Castillo,Erik Kratz,2,2,9,True,2013-08-07,Stolen,2B,2013
3514,1B,2B,Stolen Base 2B,456078,Welington Castillo,Gerald Laird,4,5,9,True,2013-04-06,Stolen,2B,2013
1615,1B,2B,Stolen Base 2B,456078,Welington Castillo,Brian McCann,3,1,3,False,2016-05-17,Stolen,2B,2016
2047,1B,2B,Stolen Base 2B,456078,Welington Castillo,Chris Stewart,5,8,8,False,2016-04-24,Stolen,2B,2016
147,1B,2B,Stolen Base 2B,456078,Welington Castillo,Willson Contreras,0,4,2,False,2018-09-23,Stolen,2B,2018
